"mz","time","PeakID","Module_RTclust"
1044.70473,410.6,"Peak9670","3_27"
1045.04292,520.5,"Peak9671","36_35"
1045.14504,402.5,"Peak9672","17_29"
1045.58564,394,"Peak9675","30_38"
1045.62397,362.3,"Peak9676","50_22"
1045.70702,409.6,"Peak9678","3_27"
1046.01374,508.5,"Peak9679","47_29"
1046.14158,403.5,"Peak9680","17_30"
1046.4293,39.5,"Peak9682","3_1"
1046.5892,396.2,"Peak9684","28_34"
1046.62758,362.2,"Peak9685","50_22"
1046.70435,411.5,"Peak9686","3_27"
1047.10112,441.1,"Peak9688","45_34"
1047.20356,445,"Peak9690","2_35"
1047.63264,369.8,"Peak9692","17_27"
1047.70952,410.8,"Peak9693","50_26"
1047.72874,30.9,"Peak9694","19_1"
1047.77359,38.8,"Peak9695","11_1"
1048.27997,39.2,"Peak9698","3_1"
1048.51727,496.9,"Peak9699","47_29"
1048.63915,372.5,"Peak9700","50_23"
1048.74181,39.5,"Peak9701","34_1"
1049.23605,35.9,"Peak9704","29_1"
1049.51863,506.5,"Peak9705","47_29"
1049.65353,367.3,"Peak9706","50_23"
1049.73706,39.5,"Peak9707","3_1"
105.0442,543.9,"Peak84","19_41"
105.06927,298.3,"Peak85","2_23"
105.10344,43.1,"Peak86","29_1"
105.51931,425.9,"Peak88","2_34"
105.9532,557.9,"Peak89","4_42"
1050.05842,37.8,"Peak9709","19_1"
1050.52142,513.3,"Peak9711","47_29"
1050.60505,40.5,"Peak9712","40_1"
1050.65652,369.4,"Peak9713","50_23"
1050.78522,40.4,"Peak9715","3_1"
1051.15856,370.3,"Peak9717","50_23"
1051.28734,39.5,"Peak9718","26_1"
1051.57719,360.5,"Peak9719","39_34"
1051.66095,375.2,"Peak9720","19_26"
1051.78338,40.2,"Peak9721","24_1"
1052.04765,571.5,"Peak9722","19_44"
1052.1637,36.5,"Peak9723","46_1"
1052.29267,39.7,"Peak9725","11_1"
1052.38297,39.7,"Peak9727","19_1"
1052.57649,360.5,"Peak9728","9_35"
1052.75071,37.4,"Peak9731","8_1"
1052.76361,589.1,"Peak9732","20_43"
1052.91851,503,"Peak9733","47_29"
1053.17029,429.2,"Peak9735","17_32"
1053.25424,37,"Peak9736","40_1"
1053.58367,360.3,"Peak9740","40_22"
1053.64828,343.8,"Peak9741","24_21"
