"","x"
"641.35668_339.8",254
"641.40553_123.8",847
"641.69549_343.9",722
"641.82356_41.7",2332
"641.84199_366.1",2302
"642.01681_529.1",1413
"642.32128_54.1",1811
"642.34533_360.2",2140
"642.3861_424.7",2663
"642.41875_492.7",221
"642.4396_92.6",2385
"642.47658_436.4",2569
"642.49107_509.3",577
"642.51055_542.5",229
"642.68516_531.6",1976
"642.81825_45.6",306
"642.859_364.9",1080
"643.01876_533.5",549
"643.34003_495.9",2232
"643.37657_270.4",541
"643.40546_360",1264
"643.44679_510.6",381
"643.48751_550.1",197
"643.68614_334.4",657
"643.84969_562.8",2233
"643.87781_298.2",1919
"643.90542_56.2",3789
"643.96687_46.2",293
"644.0164_336.9",931
"644.26062_417.4",216
"644.35039_563.9",2300
"644.37894_301.3",793
"644.39653_276.9",815
"644.43307_490.8",353
"644.48908_430.3",1146
"644.67768_41.6",385
"644.84985_564",2267
"645.02417_53.4",1083
"645.03767_321.1",2153
"645.12322_45.8",466
"645.35496_55.7",429
"645.37806_470.7",479
"645.41711_354",1670
"645.42954_504.9",1073
"645.46551_542.9",361
"645.49514_433.8",1337
"645.71175_451.4",1219
"645.82677_564",2148
"645.88233_55.1",367
"646.03953_313.3",2284
"646.12739_46.7",758
"646.32904_564.1",2125
"646.38363_56.1",1688
"646.41317_233.9",782
"646.4633_564.1",1815
"646.49668_424.5",2299
"646.69553_452.7",1553
"646.76396_40.4",361
"646.80436_43.7",863
"646.82756_40.5",296
"646.82781_563.5",1989
"646.86849_326.5",473
"646.92913_387.3",1134
"647.02196_52.9",821
"647.23194_298.3",418
"647.3269_554.1",672
"647.36382_458.3",853
"647.44623_514.3",700
"647.50917_383.7",359
"647.90583_448.1",2458
"647.9217_433.2",2398
"648.02122_52",673
"648.07732_357.2",209
"648.23516_301.3",1011
"648.32041_376",383
"648.35794_53.6",1247
"648.41098_94.5",2335
"648.42608_452.1",1234
"648.54512_44.3",513
"648.72613_45.5",480
"648.76047_40.5",321
"648.80552_562.6",2509
"648.82604_422.4",1560
"648.86975_419.8",364
"649.0225_52.7",1591
"649.24732_302.4",381
"649.32311_393",709
"649.3594_347",2086
"649.3728_421.1",1486
"649.41656_93.2",2332
"649.44647_430",691
"649.69493_338.3",2037
"649.88582_421.9",1335
"649.9868_46.6",657
"650.03617_341.5",331
"650.05778_386.3",385
"650.25205_302.9",404
"650.35686_397.5",2247
"650.3931_105.5",968
"650.42138_92.3",2162
"650.49798_507.4",574
"650.53227_516",424
"650.62178_43.3",658
"650.697_514.9",2198
"650.75997_42.8",600
"650.86739_484.9",2357
"651.03112_516.2",1008
"651.10077_482.9",291
"651.13336_47",617
"651.25266_302.1",1465
"651.36271_353.7",1829
"651.37844_454.6",2672
"651.43141_77.2",2285
"651.6979_519.5",2367
"651.7355_356.8",863
"651.79578_101",453
"651.86712_485.1",2377
"652.01524_511.2",1397
"652.11755_572.4",459
"652.13587_46.6",1441
"652.35496_350.7",351
"652.40969_59.8",1796
"652.51136_511.7",350
"652.54789_542.5",318
"652.68377_519.6",2285
"652.70887_42.8",548
"652.80975_42.4",1126
"652.84368_484.9",2085
"653.01645_517.9",1644
"653.11443_572.1",425
"653.34493_485.2",2151
"653.36893_92.2",2144
"653.41221_54.3",875
"653.74976_361.8",442
"653.80501_425.7",2090
"653.84563_485.4",2250
"653.86964_55.3",608
"653.90515_354.2",705
"654.03723_308.2",2138
"654.08463_361.6",197
"654.31595_565.4",1518
"654.32813_480.4",576
"654.37232_87",1968
"654.41352_401.6",191
"654.49133_499.1",170
"654.52737_527.3",357
"654.56367_554.1",480
"654.71396_317.7",1231
"654.75219_361.9",625
"654.8058_43.8",227
"654.91281_399.2",210
"655.0411_527.2",2286
"655.08788_359.9",226
"655.18248_276.4",470
"655.33246_479.2",644
"655.37661_430.4",518
"655.41074_406.1",925
"655.70896_527.5",2241
"655.75025_46.8",305
"655.84219_363.1",372
"655.91835_412.4",189
"656.03703_356.4",1693
"656.2226_571.8",421
"656.43091_581",489
"656.46983_495.6",1191
"656.5068_517.3",660
"656.5758_42.5",237
"656.69272_527.2",2062
"656.79303_42",245
"656.84761_54.1",950
"656.84869_559.2",2117
"656.90778_45.5",646
"657.0269_528.9",2089
"657.22266_572.4",453
"657.35041_560",2375
"657.36397_48.8",2263
"657.38275_458",617
"657.50285_559.7",402
"657.69287_524.6",1398
"657.74688_46.3",473
"657.8508_561.3",2226
"657.88408_419.4",2339
"658.21897_571.6",436
"658.33694_485.8",2310
"658.38484_419.6",2817
"658.42493_375",400
"658.47109_425.5",460
"658.50727_462.9",502
"658.57344_43.3",396
"658.65308_43",998
"658.6946_334.6",692
"658.79043_41.9",543
"658.83751_483.9",2217
"658.88473_419.3",2122
"658.92462_374.2",412
"659.02721_335.4",473
"659.21963_572.3",577
"659.28579_482.4",587
"659.30509_50.1",1496
"659.33675_486",803
"659.42341_430.7",370
"659.4746_424",541
"659.51961_555",649
"659.7132_318.3",2203
"659.83495_40.5",886
"659.86057_419.5",1597
"660.0471_317.5",1846
"660.07969_48.1",643
"660.28806_481.1",688
"660.37139_318.2",1335
"660.42933_455",500
"660.45008_94.5",2419
"660.57039_43.2",524
"660.66003_42.3",381
"660.71496_323.1",821
"660.80442_40.5",1206
"660.83037_485.8",2188
"660.84293_42",3704
"660.92708_439.5",3152
"661.04757_320.8",533
"661.0836_49.4",567
"661.26686_368.5",355
"661.331_484.6",2186
"661.37436_320.7",730
"661.41781_434.1",1127
"661.4499_432",1765
"661.49831_546.1",377
"661.52515_437.4",6564
"661.70387_442.5",1014
"661.83084_486.5",2052
"661.92084_435.2",1351
"662.03773_449.4",2061
"662.34614_577.4",2779
"662.3672_422.6",759
"662.42078_443.7",435
"662.68068_591.1",0
"662.7374_42.5",487
"662.84039_41.3",1305
"662.85086_40.3",1213
"662.86946_419.2",2330
"663.27922_411.6",236
"663.36962_437.5",674
"663.42773_409.6",394
"663.45025_547.6",1564
"663.85655_365.5",2276
"664.03508_334.9",509
"664.36735_482.1",2347
"664.40053_419.6",2651
"664.45461_549.2",1264
"664.54787_555.6",390
"664.70595_337.3",1098
"664.73391_42.5",441
"664.86186_364.7",2211
"664.90231_421.9",1145
"665.03896_512.9",2243
"665.0579_299.3",431
"665.08698_575.7",447
"665.24257_289.5",473
"665.36249_560.3",2224
"665.4203_436.4",2110
"665.45655_559.4",1173
"665.70645_513",2108
"665.86217_560.4",2225
"665.89127_297.9",2000
"665.91857_58.8",5547
"665.95983_48.3",433
"666.03976_514.3",2182
"666.0831_571.8",584
"666.24532_290.8",209
"666.31683_458.7",2177
"666.36341_561.5",2247
"666.41432_393.2",218
"666.49109_498.5",717
"666.52828_523.7",757
"666.56386_554.9",537
"666.69067_514.6",1925
"666.82078_40.7",484
"666.86345_561.4",2263
"666.91494_397.6",218
"666.98645_40.3",365
"667.02447_513.6",1781
"667.1039_45.4",513
"667.17359_253.1",367
"667.24895_294.7",284
"667.31789_458.5",1991
"667.36082_537.9",2306
"667.41976_414.9",217
"667.69169_515.5",1790
"667.84019_560.7",2675
"667.89447_55.4",1163
"667.92171_412.3",164
"668.02788_335.3",710
"668.34106_558.6",2019
"668.36257_334.3",1778
"668.39624_56.8",582
"668.42103_413.1",326
"668.46667_328.2",1211
"668.54297_531.7",1290
"668.63155_321.7",966
"668.69198_42.6",351
"668.76063_360.2",429
"668.7835_42.5",1221
"668.84192_561.2",2163
"668.88207_321",1692
"668.92403_417.8",176
"669.00082_53",683
"669.04809_306.6",794
"669.09403_360.8",956
"669.15353_532.6",768
"669.34244_91.7",2207
"669.38111_341.1",1766
"669.71644_440.7",2250
"669.76484_356.2",254
"669.92574_418.4",332
"670.04986_430.8",2086
"670.07933_355.8",1796
"670.34626_93",2207
"670.37777_343.9",366
"670.41372_355.3",1219
"670.45496_573.7",1180
"670.47034_491.3",301
"670.48543_500.6",453
"670.5208_514.6",301
"670.59925_43.4",222
"670.68927_41.1",328
"670.71174_338.6",567
"670.78116_44.4",373
"670.81859_560.2",2011
"670.84312_420.2",2194
"670.86979_44.7",947
"670.88283_416.9",436
"671.04414_343.4",1747
"671.27009_457.4",1760
"671.35617_73.5",1649
"671.38243_418.9",567
"671.49062_433.6",287
"671.70232_526.3",2213
"671.72414_46.6",707
"671.83652_473.9",2322
"671.89863_421.6",836
"672.03572_525.6",1477
"672.22234_562.8",538
"672.37867_481.8",2374
"672.43849_430",892
"672.52279_526.3",1069
"672.768_43.1",1584
"672.88039_482.5",2342
"672.88146_40.9",311
"673.03512_333",2916
"673.05492_56.8",380
"673.111_45.5",633
"673.38047_480.8",2354
"673.42119_440.6",701
"673.52678_393.9",1014
"673.7036_333.3",2296
"673.88035_482.5",2327
"673.92331_440.5",606
"674.03889_335",1939
"674.07538_53.6",450
"674.11528_47.3",725
"674.3413_47.7",2082
"674.38842_313.6",2142
"674.42906_435.8",680
"674.44065_483.3",868
"674.52525_389.6",624
"674.54844_44.3",1156
"674.63639_43.2",400
"674.72059_312.6",1513
"674.76363_42.7",604
"674.85701_482.6",2142
"674.92652_438.5",497
"675.05652_312.9",2156
"675.07833_52.9",1548
"675.2574_480.1",373
"675.35802_481.8",2106
"675.45972_486.2",1965
"675.47686_520.5",221
"675.53917_391.8",250
"675.72532_322.7",1512
"675.82677_561.6",1941
"675.8511_38.2",352
"675.85767_481.7",1457
"675.93751_437.5",1940
"676.05364_46.8",815
"676.32762_561.8",547
"676.35813_482.7",539
"676.44489_94.3",2297
"676.54368_407.4",210
"676.7147_446.9",708
"676.81495_42.6",807
"676.81842_424.2",823
"676.8547_39.6",779
"677.0565_49.3",459
"677.354_584.6",872
"677.40396_373.4",2480
"677.43049_77.6",1511
"677.4473_95.4",2342
"677.47833_528.9",802
"677.71385_301.9",478
"677.85804_359.1",2232
"678.1051_353.8",947
"678.30445_557.9",2255
"678.35893_54.8",317
"678.41176_403.1",707
"678.4613_78.2",1059
"678.47448_430.9",648
"678.63141_41.8",567
"678.72159_41.3",423
"678.81131_41.8",545
"678.86071_54.6",330
"678.86157_556.8",2330
"678.90221_41.8",602
"678.91293_403.1",1039
"679.04586_336.7",2175
"679.35676_416.9",1442
"679.39585_454.7",1251
"679.4082_73.6",2213
"679.47925_431.8",516
"679.7139_508.6",2241
"679.86454_558.9",2385
"679.89568_416.9",4988
"679.92247_403.1",1647
"680.04798_508.7",2167
"680.34934_574.3",791
"680.38502_344.8",0
"680.42518_409.4",557
"680.47883_521.9",5497
"680.49631_43.7",388
"680.54306_532.1",463
"680.57876_548.6",199
"680.71529_507.5",1970
"680.71738_43.1",623
"680.85036_482.5",2251
"680.86487_37.5",466
"680.88712_342.5",1646
"680.9318_410.2",332
"681.04851_512.1",2238
"681.23773_298.7",451
"681.35055_487.4",1627
"681.38718_345.6",711
"681.43476_416.7",186
"681.69987_503.6",1885
"681.85259_485.4",2269
"681.87355_417.8",2063
"681.93657_415",163
"682.03428_512.3",1639
"682.0615_46.7",645
"682.23954_305.6",529
"682.37485_425.9",449
"682.43566_418.3",553
"682.48471_539.7",2160
"682.52129_510.5",904
"682.55886_538.4",406
"682.70299_332.3",2627
"682.76167_44.9",780
"682.79537_41.3",1009
"682.8426_481.8",2247
"683.10221_358.2",317
"683.14607_303.7",570
"683.34551_483",2207
"683.39185_311.9",804
"683.43627_358.7",417
"683.72327_305.2",1351
"683.7705_358.8",319
"683.80097_41.6",1415
"683.84365_482.9",639
"684.05674_308.9",335
"684.10511_357.9",817
"684.19967_254.8",349
"684.25426_572.4",440
"684.34536_483.2",521
"684.38577_342.4",360
"684.43312_431.1",549
"684.44797_494.7",1132
"684.46689_503",1018
"684.48479_499.3",695
"684.50221_511.6",277
"684.54163_519",314
"684.57513_43",326
"684.66322_43.1",385
"684.72592_437.9",2287
"684.75731_45.7",506
"684.79863_38.1",372
"684.83926_37.4",226
"684.8817_411.6",333
"685.05411_347.4",2303
"685.08988_354.1",308
"685.20033_179.4",189
"685.25434_572.3",451
"685.32271_506.1",2184
"685.38471_354.9",3300
"685.43224_555.5",1540
"685.87983_480.6",2357
"685.94221_390.1",1002
"686.04343_523.9",2281
"686.19698_224.3",311
"686.24997_570.5",633
"686.37911_479.4",2372
"686.43681_546.4",1827
"686.56944_514.2",317
"686.66111_42.9",192
"686.69032_511.5",1974
"686.71067_523.6",1639
"686.75631_45.9",430
"686.81405_37.4",205
"686.84812_51",1014
"686.87533_362.9",2195
"687.04541_439.4",819
"687.22577_292.7",1753
"687.27682_577.3",1447
"687.37215_557.7",2252
"687.40279_297.8",2030
"687.44024_544.2",2826
"687.47094_96.3",2339
"687.4777_521.9",953
"687.53901_458.1",2281
"687.71274_326",1064
"687.87632_556.3",2274
"687.90359_298",2098
"688.04677_329.9",704
"688.34351_344.5",1952
"688.37764_558",2287
"688.40493_297.6",2478
"688.51756_454.2",2190
"688.66093_43",268
"688.74971_42.5",356
"688.87608_556.7",2283
"689.01616_52",449
"689.064_309.7",2164
"689.0845_47",2138
"689.39901_309.5",2011
"689.45715_503.5",1694
"689.51872_419.4",2754
"689.55635_396.3",2346
"689.73085_312",309
"689.85064_557.6",2111
"689.90884_57.9",434
"690.06635_307.8",661
"690.35412_557",2062
"690.52207_421.1",946
"690.56321_438.1",242
"690.60778_42.7",616
"690.74495_42.1",371
"690.82727_36.8",270
"690.85472_557.3",2051
"690.89589_319.9",657
"691.00912_49.9",847
"691.01598_514.1",598
"691.35586_569.2",392
"691.42112_404.4",1021
"691.92287_405.2",581
"692.01229_51.3",856
"692.10515_570.8",685
"692.3529_419.4",1523
"692.43895_94",2324
"692.58011_558",445
"692.60766_42",364
"692.70754_45",609
"692.83155_37.8",851
"692.89702_414.3",412
"692.92803_405.9",321
"693.01419_53.1",2947
"693.3314_557.6",885
"693.35554_421.4",1195
"693.38659_331.6",2204
"693.44178_95",2317
"693.71786_337.8",412
"693.84905_473.3",961
"693.91121_416.3",1038
"693.93883_420.5",542
"694.01827_58.5",1961
"694.05627_333.7",1619
"694.38456_385.8",2276
"694.44679_94.6",2258
"694.5609_534.2",294
"694.6024_42.8",291
"694.69233_42.3",869
"694.72347_504.5",2701
"694.82726_40.9",311
"694.89301_479.3",2343
"695.03492_55.1",1347
"695.0557_502.9",2271
"695.09378_47",1875
"695.38816_359.5",2253
"695.45746_78.8",2472
"695.72433_507.3",2253
"695.89425_480.1",2350
"696.0434_514",2072
"696.30715_522.9",2563
"696.33839_480.3",1883
"696.38352_359",310
"696.4356_54.1",1777
"696.50158_515.5",680
"696.53631_514",399
"696.57452_545.5",1111
"696.69262_42.9",369
"696.70999_507.4",1840
"696.84204_37.5",564
"696.86984_479.7",4347
"697.04365_509.3",1079
"697.39494_93.5",2129
"697.44017_51.1",863
"697.72909_396.8",727
"697.77784_357",369
"697.84052_558",2104
"697.87187_479.8",2504
"698.03211_48.1",667
"698.06347_303.1",2339
"698.11226_357",308
"698.23424_571.4",477
"698.33185_421.3",1480
"698.3981_90.7",2042
"698.44692_356.5",228
"698.47133_45.3",638
"698.68761_42.5",341
"698.73297_308.1",883
"698.77833_41.9",1131
"698.84115_557.5",454
"698.87257_483.1",1507
"699.06109_337.8",1995
"699.11347_357.4",456
"699.40343_432.9",2324
"699.54323_424.7",320
"699.73552_435.7",2203
"699.85094_480.9",3587
"699.87192_358.8",1278
"700.00836_54.1",919
"700.06435_342.1",562
"700.52651_453.9",264
"700.63861_42.9",758
"700.71921_521.1",880
"700.77528_41.7",431
"700.81383_39.6",800
"700.81734_557.7",1513
"700.87342_554.6",2333
"700.87342_55.1",192
"701.05224_436.4",780
"701.31884_558.4",887
"701.38902_47.3",6423
"701.40656_414.7",2526
"701.49431_529",500
"701.5575_397.8",241
"701.70146_508.4",3512
"701.87708_555.8",2277
"701.90869_414.6",2270
"702.03519_510.8",2255
"702.14414_434.1",1881
"702.36213_486.5",3225
"702.41136_414.4",2179
"702.49578_421.3",955
"702.56262_396.2",225
"702.63651_42",438
"702.72097_330.8",1916
"702.78784_40.8",855
"702.86528_480.4",2267
"702.91105_414.8",1020
"703.05543_330.2",581
"703.33021_49.1",2257
"703.36545_483",798
"703.39717_339.2",311
"703.49939_421.7",484
"703.57343_400",391
"703.72506_505.3",2289
"703.73564_306.5",2533
"703.86263_37.4",230
"703.88733_414.9",2158
"703.90144_338",1212
"704.04259_45.7",1215
"704.05671_504.5",1919
"704.07083_309.2",1780
"704.19085_533.4",448
"704.36387_487.6",894
"704.40625_311.3",319
"704.4769_96.2",2442
"704.57229_393.5",359
"704.63236_43",361
"704.72071_587.9",3152
"704.74192_307.9",1871
"704.85504_479.3",3002
"705.07428_316.1",476
"705.15918_298.2",863
"705.19102_539.7",1001
"705.30071_506.3",478
"705.35734_480.1",1752
"705.4352_423",2984
"705.52371_530.8",4625
"705.58036_400.4",399
"705.72201_586.3",4555
"705.85663_479.7",1977
"706.06571_48.2",664
"706.16851_479.9",2391
"706.18624_528.7",610
"706.39192_416.6",376
"706.53737_421.9",408
"706.62963_43.1",233
"706.71836_42.8",274
"706.89231_419.3",438
"707.30082_507.6",475
"707.33636_480.7",726
"707.37191_581.8",2113
"707.39679_308",1673
"707.45011_374.2",479
"707.83776_484.3",1799
"707.89113_476.3",2293
"707.95163_376.8",330
"708.03704_64",734
"708.0584_331.9",2148
"708.38599_361.2",2317
"708.48574_398.5",300
"708.50712_566.9",574
"708.68173_45.1",321
"708.72807_337.7",331
"708.8065_38.8",622
"708.8992_361.9",2175
"709.06326_499.7",2316
"709.14531_533.7",605
"709.38798_553.9",2213
"709.41654_297",1790
"709.73436_503.8",2268
"709.88799_553.8",2313
"709.91658_297.6",3203
"710.06669_502.1",2199
"710.26692_573.2",460
"710.34202_455.8",2489
"710.38852_553.8",2337
"710.41356_274.7",3089
"710.51732_518.9",1105
"710.58888_547.8",842
"710.66762_43.2",404
"710.71773_504.2",1911
"710.76785_44.1",959
"710.80365_41.4",230
"710.84662_37.3",383
"710.88959_554.2",2304
"710.99703_52.2",707
"711.00777_55.4",1377
"711.05076_501.4",2297
"711.06867_44.7",515
"711.2729_575.6",442
"711.34458_456",3216
"711.38401_506.4",1873
"711.41627_273.2",5241
"711.50232_581.5",2876
"711.7175_501.2",2064
"711.8646_554",2214
"711.92202_57.8",583
"712.05123_502.1",805
"712.07277_45.2",908
"712.26666_571.8",459
"712.33849_456.9",2669
"712.36723_551.1",2001
"712.39596_68.3",2189
"712.45344_355.6",318
"712.66546_43.4",386
"712.74095_301.4",534
"712.78769_356.1",320
"712.81645_37.7",1153
"712.82724_479.7",1969
"712.86679_554",2138
"712.99266_50.7",805
"713.0718_306.4",325
"713.12216_355.9",253
"713.2661_571.3",502
"713.36688_94.4",2220
"713.41008_344",1416
"713.45688_354.6",351
"713.73779_335",2255
"713.79183_353.5",650
"713.86749_554.7",836
"713.91794_481.6",746
"713.99724_55.3",358
"714.07654_433.3",2261
"714.37224_93.6",2252
"714.40471_336.7",1240
"714.44439_45.6",387
"714.74394_433.8",2053
"714.81975_39.5",466
"714.84503_554.4",3361
"714.87031_416.1",2285
"714.91003_412.7",640
"715.06896_340.9",1798
"715.2966_455.1",2309
"715.32913_482.6",581
"715.39781_416.6",2450
"715.50989_536.1",797
"715.72689_434.1",2169
"715.84629_555.7",1111
"715.86076_474.9",874
"715.92228_405.2",523
"716.04172_511",3373
"716.06344_434.4",2230
"716.39661_350.7",2023
"716.52341_433.4",543
"716.54878_528.4",2227
"716.70825_501.8",2563
"716.74813_42",290
"716.89679_359",2101
"717.04187_505.2",1086
"717.06_330",756
"717.07814_46.6",846
"717.36482_47.1",2164
"717.40838_497.3",2364
"717.52094_531.8",1784
"717.55362_533.1",1004
"717.5863_436.6",398
"717.72796_330.5",1811
"717.90599_476.5",2337
"718.06592_504.3",1557
"718.36774_47.5",2250
"718.41503_305.8",1722
"718.60788_42.7",342
"718.6188_43.3",291
"718.73164_501.5",5303
"718.7462_307.6",1815
"718.83358_38.1",364
"718.88456_478.1",2177
"719.08124_310.5",553
"719.3837_476.7",2368
"719.41651_311.4",1284
"719.43838_95.4",2290
"719.73013_584.3",3512
"719.74837_318.7",886
"719.85418_556.2",2065
"719.87242_477.5",859
"719.88337_476.5",1933
"719.90891_57.2",1013
"720.01475_46.2",523
"720.06221_585.1",1978
"720.08411_322",774
"720.16078_448.5",1600
"720.35433_554.8",1670
"720.39451_583.5",3989
"720.47123_95.7",2301
"720.61374_43.3",290
"720.66125_447.7",1670
"720.69415_42.4",219
"720.79651_43.5",880
"720.83307_40.7",221
"720.85501_555.7",2197
"720.88426_477.2",629
"721.01958_47.3",841
"721.04884_584.5",3269
"721.38183_585",1815
"721.47335_96.4",2257
"721.71505_583.9",3088
"721.88358_357.7",1929
"722.07416_299.3",645
"722.20248_418.5",1327
"722.33083_555",1870
"722.38218_353.3",230
"722.40786_308.9",2968
"722.48857_542.7",6014
"722.50325_429.7",614
"722.61333_41.7",571
"722.69774_586.2",2011
"722.73812_328.8",1916
"722.88865_553",2290
"723.06861_331.3",1839
"723.42138_409.2",1829
"723.50593_429.3",596
"723.53535_531.3",930
"723.7413_500.2",2341
"723.75969_295.7",1834
"723.89214_554.7",2346
"723.92158_412.3",2063
"724.07247_497.8",2309
"724.37809_491.2",1176
"724.41124_341.2",991
"724.4665_50.7",630
"724.52545_418.8",320
"724.56229_42.3",524
"724.69128_43.1",241
"724.74288_500.4",2325
"724.77974_39.3",414
"724.8756_475.8",2206
"724.91616_336.6",1905
"725.07474_499.2",1958
"725.381_488.5",1686
"725.39207_502.6",2792
"725.41422_339.4",1417
"725.72807_502",2110
"725.78348_41.3",1038
"725.87584_480.9",747
"725.89801_413.3",1758
"725.96452_55.5",512
"726.02735_49.8",417
"726.06061_500.1",2074
"726.38968_500.5",2328
"726.54505_466.9",303
"726.55985_42.4",534
"726.64866_43.3",313
"726.72638_499.3",3124
"726.74118_44",467
"726.7782_42.1",520
"726.82262_40.3",345
"726.86705_476.5",2090
"726.90037_412.8",3702
"726.98183_52.9",950
"727.04109_47.1",616
"727.0596_501.6",1535
"727.12628_356.8",381
"727.36712_477.5",1835
"727.4153_303.2",1205
"727.46349_354.6",306
"727.5747_412.1",269
"727.65999_531.2",2181
"727.71191_505",1976
"727.749_301.2",467
"727.79722_355.3",342
"727.82319_40.7",935
"727.8677_477.7",2230
"727.90852_525.8",797
"728.09406_301.6",679
"728.13118_355.1",920
"728.16088_532.3",1756
"728.36881_477.2",3660
"728.41338_335",2167
"728.55825_438.9",1182
"728.57683_403",554
"728.64742_42.8",194
"728.75148_431.3",1999
"728.79237_40.2",1212
"728.82954_40.1",283
"728.87043_478.4",616
"728.90761_407.6",1518
"728.96338_51.6",735
"729.0861_431.2",2310
"729.35024_505.8",2252
"729.41723_431.2",1907
"729.46189_375.2",584
"729.52518_517.1",1475
"729.58846_402.9",229
"729.75231_431.3",1445
"729.84915_478.7",1041
"729.89758_356.2",2138
"730.07271_432.7",1214
"730.34858_486.4",1210
"730.40078_349.9",2229
"730.53879_430.5",1127
"730.59102_401.8",243
"730.64325_42.3",372
"730.71788_509.6",421
"730.73654_431.8",769
"730.73654_42.5",575
"730.83731_39.6",549
"730.91197_359.7",2224
"731.05012_503.1",2256
"731.0688_432.7",864
"731.1659_446.1",320
"731.2705_455.2",2644
"731.40128_551.8",2343
"731.60686_400.8",239
"731.66668_446.6",448
"731.71903_503.6",2231
"731.73399_326.8",437
"731.9023_551.6",2344
"732.07066_329.4",1307
"732.40008_552.1",2354
"732.43004_297",3819
"732.54989_410.2",548
"732.60608_416.8",618
"732.71848_42",596
"732.83841_39.4",850
"732.90213_551.3",2346
"733.04834_45.4",1274
"733.07459_501.6",1810
"733.08959_304.9",1864
"733.31839_388.6",180
"733.40094_551.7",2421
"733.42345_303.8",1517
"733.55105_411.5",625
"733.75754_307.1",966
"733.87772_551.7",2219
"734.01671_579.7",4237
"734.07307_580.7",1540
"734.09186_308.6",1401
"734.38128_554.5",2255
"734.4264_305.8",253
"734.50537_314.3",398
"734.56555_414.5",188
"734.7386_581.4",1818
"734.75741_321.1",1492
"734.8101_39",317
"734.8402_477.9",2414
"734.8816_553.3",2111
"734.923_322.6",676
"734.9757_47.9",683
"735.07359_581.3",1925
"735.3862_582.3",3666
"735.42011_357.2",587
"735.72163_582.9",1359
"735.84229_479",1647
"735.88_551.4",1933
"735.93281_479.9",1223
"735.99316_46.5",503
"736.05729_581.4",1284
"736.38941_581.8",2839
"736.40828_481.4",607
"736.46492_95.2",2311
"736.57443_492.9",298
"736.74819_299.8",1395
"736.77086_43",398
"736.80865_41.6",288
"736.85777_551.1",2321
"736.88044_412.9",2080
"736.92201_410.3",368
"736.99383_49.5",391
"737.34171_453.7",2302
"737.35684_551.7",337
"737.43628_412.8",3957
"737.47033_97.1",2313
"737.74662_329.5",1984
"737.85642_39",579
"737.8602_553.6",2297
"737.87535_470.5",706
"737.93973_413.3",1286
"738.08745_329.7",1437
"738.40957_351",377
"738.47402_96",2331
"738.54606_537.7",1363
"738.67879_43.7",222
"738.74707_496",2256
"738.82674_39.8",242
"738.91022_351.7",2160
"739.08481_497.6",2314
"739.16453_520.7",1073
"739.37339_547",1967
"739.41137_363.8",2021
"739.48355_78.4",2348
"739.74956_496.2",2053
"739.87502_547.7",2380
"739.92065_475",2312
"740.06897_498.1",2229
"740.15265_518.1",575
"740.33529_523.6",2173
"740.37335_549.9",755
"740.4038_351.2",2343
"740.44186_451.5",3073
"740.4609_459.3",2000
"740.518_423.1",630
"740.53704_43.8",701
"740.73505_497.2",4432
"740.7541_43.5",1251
"740.89505_474.1",2134
"741.06653_495.9",2221
"741.19232_209.9",306
"741.33721_524.8",1910
"741.39823_476.3",2064
"741.42111_95.2",2451
"741.46688_516.2",850
"741.52219_475.2",415
"741.73778_501",2060
"741.80266_355.4",762
"741.8332_39.9",604
"741.86374_552.2",2893
"741.8981_474.9",2469
"741.99737_45.7",525
"742.08902_301.7",454
"742.13868_353.9",179
"742.17305_443.8",911
"742.36791_557.4",1664
"742.39848_475.4",1241
"742.42523_96.2",2271
"742.47109_355.4",238
"742.53608_418.7",618
"742.5743_408.9",1034
"742.624_42.9",219
"742.67371_442",877
"742.71577_42.7",401
"742.75784_42.1",230
"742.76931_301.4",1083
"742.79609_41.7",346
"742.80756_353.1",267
"742.83816_37.7",233
"742.89936_475.1",1668
"743.01414_46.3",620
"743.0945_428.2",2296
"743.28972_312.5",463
"743.42756_428.6",2102
"743.53863_485.4",742
"743.57311_439",781
"743.76085_429",2161
"743.89499_357.7",1316
"743.97549_55.3",855
"744.09435_429.3",2077
"744.2938_311.7",289
"744.34367_552.3",1880
"744.39739_355.8",512
"744.42809_429.2",759
"744.5509_411.1",179
"744.58928_411.1",2626
"744.61999_40.9",2044
"744.71213_42.6",258
"744.74668_429.6",1772
"744.84269_40",361
"744.9003_548.9",2370
"745.08086_428.7",359
"745.34221_542.2",1700
"745.41525_48.1",0
"745.43448_410.2",2231
"745.55369_468.6",751
"745.59215_424.4",2300
"745.67678_322.7",810
"745.72679_497",1859
"745.74603_430.1",489
"745.9038_551.1",3277
"745.93459_409.5",565
"746.06162_501.9",2214
"746.38897_473.2",2285
"746.43521_410.5",2371
"746.50842_516.4",4971
"746.52383_426.6",907
"746.57007_404.7",2973
"746.60476_448",189
"746.61632_42.5",217
"746.70498_42.8",329
"746.72811_501.7",1389
"746.74738_327.4",2161
"746.80136_41.3",587
"746.89005_473.8",2302
"746.92861_337.1",1474
"747.35689_50",1176
"747.39163_477.1",2310
"747.42637_340.4",2041
"747.52675_420.7",329
"747.56923_451.9",721
"747.71213_504.4",568
"747.75076_498.7",2144
"747.76235_305.9",1558
"747.81257_40.4",383
"747.88985_469",463
"747.91303_410.5",673
"748.00572_48.5",586
"748.08303_496.1",2325
"748.09849_305.3",2110
"748.3885_482.1",1467
