"","x"
"175.14742_514.1",255
"175.47921_193.3",353
"175.51058_72.2",482
"175.91254_62.6",1580
"175.94029_41.1",655
"175.95427_114.1",492
"175.9559_511.7",275
"175.98892_218.8",1353
"176.01192_274.5",750
"176.01868_522.2",442
"176.06508_42",284
"176.06973_121",594
"176.10221_44.9",389
"176.11958_193.7",477
"176.14249_253.3",350
"176.93545_39.4",190
"176.9518_44.3",216
"176.98623_194.7",612
"177.00795_182.9",352
"177.02146_554.2",833
"177.05373_332.7",185
"177.06666_172.3",346
"177.08984_309.4",268
"177.10143_234.4",135
"177.11134_114.7",1302
"177.1266_368",271
"177.13788_549.4",758
"177.95105_45.3",1642
"177.95671_346.6",410
"177.96767_45.9",444
"177.99798_541.9",562
"178.00855_62.1",323
"178.03475_530.5",230
"178.05798_39",321
"178.06778_564.8",621
"178.12192_538.2",248
"178.14124_534.5",203
"178.15798_224.1",485
"178.48086_370.7",453
"178.51002_69.4",339
"178.94879_563.2",441
"178.98985_378.2",391
"179.00699_64.4",237
"179.06303_359.6",1121
"179.0902_236.2",271
"179.10577_356.8",467
"179.1172_532.2",471
"179.12704_172.4",404
"179.14229_308.4",159
"179.50784_70.8",1013
"179.98476_413",436
"180.0023_188.9",1013
"180.00638_67.2",306
"180.03732_230.6",484
"180.04375_38.1",1098
"180.0657_139.7",288
"180.06601_538.2",416
"180.08002_260.6",279
"180.10115_277.5",418
"180.10461_525.4",974
"180.15842_221.7",354
"180.17457_549.5",1225
"180.88243_41.7",232
"180.90298_45.2",3763
"180.94987_57.2",540
"181.01362_396.4",881
"181.03016_35.3",309
"181.05146_40.1",1025
"181.07126_51.1",273
"181.08508_256.7",428
"181.09644_56.9",978
"181.12151_376.1",512
"181.15801_326.8",346
"181.97699_382.5",710
"181.98751_510.3",226
"182.00894_569.4",338
"182.03185_36.2",967
"182.05695_44.9",561
"182.07481_249.9",528
"182.08036_45.6",517
"182.08829_243.4",828
"182.11675_272.8",431
"182.18986_528.3",162
"182.94677_57.4",1142
"182.9611_406.2",183
"183.00906_448.4",327
"183.07733_329.1",476
"183.10074_373.7",838
"183.11371_523.3",2395
"183.13713_174.3",268
"183.8868_472.6",2464
"183.93203_55.4",209
"184.02798_45.9",1102
"184.0724_381.3",678
"184.08048_155.4",278
"184.09424_56",179
"184.11167_535.2",623
"184.13241_379.7",930
"184.16874_225.2",438
"184.93227_60.1",344
"184.94552_56",1469
"185.00074_54.4",1007
"185.02242_218",382
"185.03017_46",292
"185.07041_48.5",5089
"185.07599_375.5",622
"185.1065_527.9",988
"185.12773_47.8",370
"185.13475_315.5",1167
"185.15278_328.9",257
"185.17248_67.2",283
"185.9589_44.1",875
"185.96276_30.7",564
"185.98266_146.2",301
"185.98807_540.8",483
"186.01769_203.4",281
"186.06053_35.1",961
"186.11141_535",245
"186.13795_301.5",529
"186.14803_163.3",374
"186.1845_261.9",316
"186.22082_190.1",381
"186.54378_344.7",798
"186.82748_43.7",205
"186.92925_576",312
"186.9293_60.9",322
"186.9555_541.6",206
"187.07051_58.5",403
"187.09557_146",444
"187.10737_513.4",954
"187.12558_317.9",856
"187.13177_522.2",1136
"187.14755_507",235
"187.93037_35.6",3343
"187.99942_585.5",1092
"188.03418_50.2",898
"188.0491_226.5",390
"188.06979_49.2",759
"188.08551_272.9",291
"188.10654_98.1",436
"188.10707_491.7",549
"188.12725_244.8",448
"188.14184_542.1",1502
"188.17506_37.6",301
"188.82446_45.3",466
"188.95691_565.8",407
"188.97775_574.2",511
"189.00867_92.2",1234
"189.0692_307.9",614
"189.07319_45.1",447
"189.08625_76.9",397
"189.08992_285.3",1383
"189.1477_67",957
"189.16304_505",271
"189.47679_246.9",309
"189.88763_63.3",328
"190.01642_65.2",1353
