"mz","time","rep1","rep2","rep3"
89.50674474,25.27263355,670624.375,93422.07031,304852.5938
312.9429259,25.37916692,45675.90625,27777.70703,30784.83984
110.521558,25.43821287,210265.6875,113432.5625,192612.3594
230.8897535,25.47644997,5482.015137,0,3409.378418
189.6067943,26.05933221,8461.266602,4986.321289,2442.074463
94.54556288,26.1766332,155261.8125,81829.95313,104020.7891
102.0507063,26.43564987,0,5205.784668,5597.161133
90.52585331,26.63316663,345312.9063,59456.98047,136702.1563
90.00843408,26.89164925,34096.30469,0,20178.08203
125.9861609,27.33937677,400012.25,88076.3125,111611.1016
110.0089632,27.49104977,22018.84375,4592.538086,0
102.9700849,27.5862999,20709.16211,7220.47168,11306.94043
131.9740689,27.58766619,10642.97168,2457.598145,5202.73291
84.95967437,27.59794903,40581.78906,0,10565.56055
102.0410822,27.69996643,17168.39648,11199.01563,12940.01367
153.032602,27.86694368,35728.60156,22678.68555,18660.72656
174.9987978,27.8883098,76836.1875,33637.82031,43150.54297
154.4855164,28.14046669,48530.38672,7199.016113,24443.29297
81.50085681,28.40069962,5075.859375,0,2048.241455
81.52581819,28.40069962,5119.552734,0,1657.106445
110.0141889,28.45084953,13873.35254,5174.146484,0
109.5241037,28.79786619,12676.46191,4878.831543,10881.15234
95.54545453,29.07213275,15190.49219,6932.146484,9718.25293
101.0961573,29.08349991,22394.7168,9561.089844,6490.239746
74.53062569,29.09433365,29671.87695,4587.245605,7416.825684
77.9988052,29.19425011,11829.85742,0,2620.161133
99.04223425,29.32809925,0,11369.77832,5014.983398
83.53582941,29.52636719,12386.12598,1922.587646,5442.544434
89.51044016,29.79659939,5476.362305,0,2619.549316
239.1613931,29.94499906,47092.69922,11490.63379,4973.879883
79.01787078,29.9473327,59217.36328,6091.807617,13246.25098
137.0133163,30.09984875,0,43262.93359,71246.44531
81.52327659,30.12463315,9049.570313,1744.150146,2845.107666
100.0243575,30.56704998,8332.021484,0,2318.42334
128.0190938,30.62839953,70239.17188,28427.35547,39447.80078
151.0351832,30.70463371,320101.4375,171812.875,181333.6563
124.5434297,30.7840662,34122.55469,17704.26758,14281.83203
74.03226832,31.0552667,27236.80273,5208.742188,7480.044434
437.9086152,32.00226657,10541.94141,2874.302734,3825.782959
141.9585425,32.05306625,364298.9688,54962.33594,237702.5156
168.0159656,32.15539996,50020.44141,21173.21875,18769.27344
110.5184667,32.17070007,31674.20898,10345.35938,24743.40039
110.0366315,32.82839966,5632.507324,1440.180542,0
350.9869022,33.08100001,11777.85645,4417.631348,3434.874268
325.9204163,33.12383334,11212.29004,4830.561035,9692.040039
81.52296592,33.86366749,10454.29883,1538.401001,3438.222412
154.9900421,34.11760012,85806.17188,13104.51074,46499.34766
296.9652675,34.39699936,10531.11133,0,6809.491699
94.04511248,34.41960049,1388730.625,0,828850.9375
95.04383175,34.41960049,200262.25,0,121089.7813
95.04383508,34.41960049,200262.25,0,121089.7813
102.0417222,34.48400021,0,10648.16602,12488.10742
225.9955919,34.55283419,49790.54688,30497.69531,40684.22266
103.0316476,34.56186612,24405.00391,13702.43262,17107.23828
143.9967232,34.85850016,246652.6563,77066.59375,116067.4219
83.51704098,34.93226687,20939.76172,3982.318848,8266.389648
70.01268913,34.93256696,97204.78906,4815.51709,16373.73047
387.9254759,35.02273305,15054.31055,10046.41211,7186.608398
170.9573791,35.20644951,0,8378.508789,2815.597168
307.8300514,35.58099937,6137.025879,2366.522217,0
127.5440883,36.07120037,0,45004.94531,10200.37207
169.0932823,36.39144897,9023.831055,3279.622314,0
152.0359197,36.52229945,31387.28906,19819.43359,16572.85547
275.9780894,36.70623366,72477.375,19641.24219,38947.01953
224.011461,36.9907341,38561.97656,19455.20313,34190.41016
102.0338575,37.34774971,4113009.75,0,2880710.75
137.0133137,38.78354836,0,42655.53516,71246.44531
245.0782387,38.83129946,12525.50684,3510.844971,2124.811523
94.54354427,38.9441007,17501.77734,7648.052734,11082.74805
312.9428416,38.96076711,45675.90625,23748.71484,27821.33203
107.0309,39.25633367,3952.22168,47881.09766,22046.35742
91.02751694,39.36099943,16586.81055,3905.892334,10050.63477
81.52055332,39.40923373,824467.0625,215019.4375,418270.25
156.0138738,39.51549911,0,6998.605957,11625.84082
132.0350691,40.02153269,9795.03125,3206.833984,6448.27832
151.0351915,40.3615996,320101.4375,170208.9375,181333.6563
117.0277873,40.40203349,10119.21387,1471.664795,5642.625488
82.53711944,40.86823273,87068.0625,12484.21289,33666.45703
94.04511234,41.77820015,1388730.625,0,832651.5
199.0291859,42.02509944,112369.875,43192.83203,39806.11719
123.0486583,42.0516669,180814.3906,91274.84375,86716.25
171.0342837,42.40103404,25162.20313,11576.91016,8182.381348
136.9530126,42.59049988,0,6507.10791,14752.55762
123.0402023,42.85499954,20911.35547,3963.90332,5402.51709
128.0190938,43.20133273,51761.19141,25784.21484,39447.80078
153.032606,43.24466705,35728.60156,20037.95703,17037.83008
109.5216498,43.35275078,57349.16797,0,36877.07031
102.5322873,43.50539907,48892.67578,25482.98242,37462.78125
83.04001827,44.33143361,3347.369873,9970.793945,5187.952148
110.0289035,44.61935043,10822.05273,3421.847168,0
138.9911407,44.70535088,0,6361.328613,9792.141602
74.09643722,44.97703425,24196.8125,11573.89063,13222.5332
104.0301435,45.21890004,101599.9453,47838.56641,65165.44922
135.530271,45.39775085,0,9167.047852,5514.255859
110.009486,45.71640015,16664.2168,4254.973633,9846.383789
257.9674031,45.82323265,47872.79688,10064.37891,21976.27148
102.535387,46.30726624,358987.5,203792.1563,254139.1875
178.0397748,46.84700012,0,69776.86719,55137.32813
143.9966908,46.85829989,192482.75,77066.59375,117244.9531
94.54557823,46.89393234,190722.5938,81627.74219,118559.8281
123.0455268,47.0536321,26701.08008,14149.35449,14633.08594
309.2034459,47.30980047,27384.7793,11470.8584,4872.516113
73.53185445,47.43526586,128022.2344,37201.96484,73361.35938
122.5470763,47.81024933,1490793.125,0,829939.0625
